,P10_8_1_Yes,P10_8_1_No,P10_8_2_Yes,P10_8_2_No,P10_8_3_Yes,P10_8_3_No,P10_8_4_Yes,P10_8_4_No,P10_8_5_Yes,P10_8_5_No,P10_8_6_Yes,P10_8_6_No,P10_8_7_Yes,P10_8_7_No,P10_8_8_Yes,P10_8_8_No,P10_8_9_Yes,P10_8_9_No,P10_8_10_Yes,P10_8_10_No,P10_8_11_Yes,P10_8_11_No,P10_8_12_Yes,P10_8_12_No,P10_8_13_Yes,P10_8_13_No,P10_8_14_Yes,P10_8_14_No,P10_8_15_1,P10_8_15_2,P10_8_15_3,P10_8_15_4
NIV_11.0,18,293,23,288,2,309,12,299,22,289,8,303,17,294,7,304,20,291,4,307,7,304,220,91,208,12,211,9,7,1,0,1
NIV_4.0,432,5133,659,4906,70,5495,375,5190,538,5027,254,5311,478,5087,240,5325,590,4975,68,5497,131,5434,2653,2912,2431,222,2461,192,112,41,7,32
NIV_10.0,249,3022,347,2924,32,3239,193,3078,298,2973,138,3133,215,3056,120,3151,319,2952,43,3228,79,3192,1991,1280,1825,166,1874,117,78,14,9,16
NIV_9.0,28,283,32,279,5,306,27,284,28,283,12,299,26,285,5,306,16,295,4,307,9,302,187,124,168,19,168,19,14,3,1,1
NIV_2.0,124,2097,203,2018,16,2205,122,2099,175,2046,67,2154,187,2034,87,2134,194,2027,28,2193,47,2174,777,1444,714,63,705,72,44,16,4,8
NIV_7.0,28,252,38,242,3,277,21,259,31,249,16,264,30,250,11,269,28,252,4,276,4,276,148,132,134,14,138,10,3,3,1,3
NIV_3.0,487,6487,682,6292,61,6913,435,6539,606,6368,236,6738,586,6388,260,6714,657,6317,85,6889,155,6819,2951,4023,2728,223,2693,258,147,63,17,31
NIV_0.0,11,207,19,199,2,216,8,210,9,209,8,210,15,203,8,210,18,200,6,212,2,216,63,155,55,8,50,13,9,2,1,1
NIV_6.0,7,126,10,123,0,133,9,124,12,121,4,129,6,127,8,125,11,122,3,130,5,128,86,47,81,5,82,4,2,0,0,2
NIV_8.0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,3,2,3,0,3,0,0,0,0,0
NIV_5.0,2,24,3,23,1,25,3,23,1,25,2,24,0,26,1,25,4,22,0,26,0,26,9,17,9,0,9,0,0,0,0,0
NIV_1.0,1,6,1,6,1,6,1,6,2,5,2,5,1,6,0,7,1,6,0,7,0,7,1,6,0,1,0,1,1,0,0,0
